"","X","Location","Year","beta.bray.bal","beta.bray.gra","beta.bray","state","Habitat","Island","site.year","bray.ratio","Management"
"1",1,"Cousin Carbonate",2005,0.544283041920818,0.0570708604125317,0.601353902333349,"Shifted","Carbonate","Cousin","Cousin Carbonate.2005",0.905096050443694,"Protected"
"2",2,"Cousin Granite",2005,0.393599390214604,0.130882886702212,0.524482276916816,"Shifted","Granitic","Cousin","Cousin Granite.2005",0.750453175516986,"Protected"
"3",3,"Cousin Patch",2005,0.451278462221161,0.121320582836862,0.572599045058022,"Shifted","Patch","Cousin","Cousin Patch.2005",0.788122973861111,"Protected"
"4",4,"Mahe E Carbonate",2005,0.380449704302632,0.18826313680114,0.568712841103772,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2005",0.668966263473576,"Fished"
"5",5,"Mahe E Granite",2005,0.432849514111121,0.0165416762680549,0.449391190379176,"Shifted","Granitic","Mahe","Mahe E Granite.2005",0.963190920022046,"Fished"
"6",6,"Mahe E Patch",2005,0.288447003090644,0.179602398341258,0.468049401431902,"Recovering","Patch","Mahe","Mahe E Patch.2005",0.616274697090091,"Fished"
"7",7,"Mahe NW Carbonate",2005,0.429846595991332,0.0467955567569816,0.476642152748313,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2005",0.901822454251772,"Protected"
"8",8,"Mahe NW Granite",2005,0.498433103252088,0.00735278487527006,0.505785888127358,"Recovering","Granitic","Mahe","Mahe NW Granite.2005",0.985462653174265,"Fished"
"9",9,"Mahe NW Patch",2005,0.468096266281227,0.0801306794214609,0.548226945702688,"Recovering","Patch","Mahe","Mahe NW Patch.2005",0.853836663721894,"Fished"
"10",10,"Mahe W Carbonate",2005,0.429868795589246,0.0566292476118401,0.486498043201086,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2005",0.883598200643875,"Fished"
"11",11,"Mahe W Granite",2005,0.434322586646595,0.0614463387700505,0.495768925416645,"Recovering","Granitic","Mahe","Mahe W Granite.2005",0.876058511092823,"Fished"
"12",12,"Mahe W Patch",2005,0.417012667181126,0.200717158519548,0.617729825700674,"Recovering","Patch","Mahe","Mahe W Patch.2005",0.675072903770059,"Fished"
"13",13,"Praslin NE Carbonate",2005,0.479164488977678,0.131069514265196,0.610234003242874,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2005",0.785214338157701,"Fished"
"14",14,"Praslin NE Granite",2005,0.475021357060879,0.0215814640325826,0.496602821093462,"Recovering","Granitic","Praslin","Praslin NE Granite.2005",0.956541801383523,"Protected"
"15",15,"Praslin NE Patch",2005,0.469463227852383,0.0442658821193698,0.513729109971753,"Recovering","Patch","Praslin","Praslin NE Patch.2005",0.913834195376229,"Protected"
"16",16,"Praslin SW Carbonate",2005,0.583821610758853,0.0616772325846943,0.645498843343547,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2005",0.904450281792576,"Fished"
"17",17,"Praslin SW Granite",2005,0.439655149041529,0.0839559888041562,0.523611137845685,"Recovering","Granitic","Praslin","Praslin SW Granite.2005",0.839659658215867,"Fished"
"18",18,"Praslin SW Patch",2005,0.33487504776447,0.195788112701617,0.530663160466088,"Shifted","Patch","Praslin","Praslin SW Patch.2005",0.631050113730046,"Fished"
"19",19,"Ste Anne Carbonate",2005,0.472856316584293,0.0903346986753389,0.563191015259632,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2005",0.839602024485965,"Protected"
"20",20,"Ste Anne Granite",2005,0.311377650008678,0.192761379779525,0.504139029788203,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2005",0.617642419273692,"Protected"
"21",21,"Ste Anne Patch",2005,0.305972142846993,0.292141293736625,0.598113436583618,"Recovering","Patch","Ste Anne","Ste Anne Patch.2005",0.511562061863523,"Protected"
"22",22,"Cousin Carbonate",2008,0.499263757700068,0.0183895016482362,0.517653259348304,"Shifted","Carbonate","Cousin","Cousin Carbonate.2008",0.964475251886973,"Protected"
"23",23,"Cousin Granite",2008,0.389734047113164,0.0614509623682107,0.451185009481375,"Shifted","Granitic","Cousin","Cousin Granite.2008",0.863800966173839,"Protected"
"24",24,"Cousin Patch",2008,0.514598972461212,0.0783700822302263,0.592969054691438,"Shifted","Patch","Cousin","Cousin Patch.2008",0.867834448340634,"Protected"
"25",25,"Mahe E Carbonate",2008,0.434843779520142,0.157666700188388,0.59251047970853,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2008",0.733900571233865,"Fished"
"26",26,"Mahe E Granite",2008,0.25836345543611,0.137751828953875,0.396115284389986,"Shifted","Granitic","Mahe","Mahe E Granite.2008",0.652243085832924,"Fished"
"27",27,"Mahe E Patch",2008,0.269324334158986,0.16329563661511,0.432619970774096,"Recovering","Patch","Mahe","Mahe E Patch.2008",0.622542536991712,"Fished"
"28",28,"Mahe NW Carbonate",2008,0.424179450271593,0.0346357316796694,0.458815181951263,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2008",0.924510493457584,"Protected"
"29",29,"Mahe NW Granite",2008,0.320870654505258,0.0786948183541757,0.399565472859433,"Recovering","Granitic","Mahe","Mahe NW Granite.2008",0.803049002730372,"Fished"
"30",30,"Mahe NW Patch",2008,0.305567513430584,0.115559003887429,0.421126517318013,"Recovering","Patch","Mahe","Mahe NW Patch.2008",0.72559551789002,"Fished"
"31",31,"Mahe W Carbonate",2008,0.414961776557267,0.0145130454116566,0.429474821968924,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2008",0.96620745927521,"Fished"
"32",32,"Mahe W Granite",2008,0.435811111035424,0.0578493999853067,0.493660511020731,"Recovering","Granitic","Mahe","Mahe W Granite.2008",0.882815419313785,"Fished"
"33",33,"Mahe W Patch",2008,0.367485025662888,0.11478038119346,0.482265406856348,"Recovering","Patch","Mahe","Mahe W Patch.2008",0.761997481964015,"Fished"
"34",34,"Praslin NE Carbonate",2008,0.419871569815734,0.0410190411710966,0.46089061098683,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2008",0.911000484294377,"Fished"
"35",35,"Praslin NE Granite",2008,0.417786078758144,0.00366136449520856,0.421447443253352,"Recovering","Granitic","Praslin","Praslin NE Granite.2008",0.991312405487753,"Protected"
"36",36,"Praslin NE Patch",2008,0.381906295231841,0.109619837761365,0.491526132993205,"Recovering","Patch","Praslin","Praslin NE Patch.2008",0.776980651885543,"Protected"
"37",37,"Praslin SW Carbonate",2008,0.415497133215607,0.0792418850827866,0.494739018298394,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2008",0.839830936813249,"Fished"
"38",38,"Praslin SW Granite",2008,0.209220993162476,0.247144834694791,0.456365827857267,"Recovering","Granitic","Praslin","Praslin SW Granite.2008",0.458450173942278,"Fished"
"39",39,"Praslin SW Patch",2008,0.170102128361969,0.331517056338715,0.501619184700685,"Shifted","Patch","Praslin","Praslin SW Patch.2008",0.339106105886817,"Fished"
"40",40,"Ste Anne Carbonate",2008,0.534102935912061,0.0258858464988217,0.559988782410883,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2008",0.953774348144302,"Protected"
"41",41,"Ste Anne Granite",2008,0.331875769587305,0.0492233067014334,0.381099076288738,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2008",0.870838556784799,"Protected"
"42",42,"Ste Anne Patch",2008,0.609532893821185,0.0253587415359943,0.634891635357179,"Recovering","Patch","Ste Anne","Ste Anne Patch.2008",0.960058157764627,"Protected"
"43",43,"Cousin Carbonate",2011,0.441413828420535,0.0187116612160937,0.460125489636629,"Shifted","Carbonate","Cousin","Cousin Carbonate.2011",0.959333569564097,"Protected"
"44",44,"Cousin Granite",2011,0.406422441137764,0.0159548598501366,0.422377300987901,"Shifted","Granitic","Cousin","Cousin Granite.2011",0.962226048102444,"Protected"
"45",45,"Cousin Patch",2011,0.254147971988827,0.0807443733681329,0.33489234535696,"Shifted","Patch","Cousin","Cousin Patch.2011",0.758894538834359,"Protected"
"46",46,"Mahe E Carbonate",2011,0.467768371746327,0.169005262915703,0.63677363466203,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2011",0.734591299456984,"Fished"
"47",47,"Mahe E Granite",2011,0.437299451089265,0.056657762878007,0.493957213967272,"Shifted","Granitic","Mahe","Mahe E Granite.2011",0.885298237831261,"Fished"
"48",48,"Mahe E Patch",2011,0.323044405773966,0.0643861985550198,0.387430604328986,"Recovering","Patch","Mahe","Mahe E Patch.2011",0.833812306421858,"Fished"
"49",49,"Mahe NW Carbonate",2011,0.412339164379618,0.0683119775648734,0.480651141944492,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2011",0.857876177535926,"Protected"
"50",50,"Mahe NW Granite",2011,0.288988533898306,0.0476885014161551,0.336677035314461,"Recovering","Granitic","Mahe","Mahe NW Granite.2011",0.858355348259458,"Fished"
"51",51,"Mahe NW Patch",2011,0.458177580062167,0.0692168013228636,0.527394381385031,"Recovering","Patch","Mahe","Mahe NW Patch.2011",0.868757036923511,"Fished"
"52",52,"Mahe W Carbonate",2011,0.339491148787364,0.15128370137713,0.490774850164495,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2011",0.691745203882342,"Fished"
"53",53,"Mahe W Granite",2011,0.309240763769437,0.036064072769396,0.345304836538833,"Recovering","Granitic","Mahe","Mahe W Granite.2011",0.895558738386393,"Fished"
"54",54,"Mahe W Patch",2011,0.471083661142747,0.0242415562957707,0.495325217438517,"Recovering","Patch","Mahe","Mahe W Patch.2011",0.951059313270721,"Fished"
"55",55,"Praslin NE Carbonate",2011,0.43647149262403,0.16585348051266,0.602324973136691,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2011",0.724644522625461,"Fished"
"56",56,"Praslin NE Granite",2011,0.346104753447473,0.0724781847630352,0.418582938210508,"Recovering","Granitic","Praslin","Praslin NE Granite.2011",0.826848688403574,"Protected"
"57",57,"Praslin NE Patch",2011,0.313079362867798,0.0915243542579519,0.40460371712575,"Recovering","Patch","Praslin","Praslin NE Patch.2011",0.773792601540765,"Protected"
"58",58,"Praslin SW Carbonate",2011,0.432258741744794,0.0161916086742803,0.448450350419075,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2011",0.963894311468038,"Fished"
"59",59,"Praslin SW Granite",2011,0.289251862409952,0.0587758172012638,0.348027679611216,"Recovering","Granitic","Praslin","Praslin SW Granite.2011",0.831117406331236,"Fished"
"60",60,"Praslin SW Patch",2011,0.456618068240408,0.0385487974208233,0.495166865661231,"Shifted","Patch","Praslin","Praslin SW Patch.2011",0.922149885030481,"Fished"
"61",61,"Ste Anne Carbonate",2011,0.478100138732823,0.154860253088209,0.632960391821032,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2011",0.755339741492079,"Protected"
"62",62,"Ste Anne Granite",2011,0.333553469186522,0.021951796142504,0.355505265329026,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2011",0.938251839611469,"Protected"
"63",63,"Ste Anne Patch",2011,0.372273844857986,0.204377876443634,0.57665172130162,"Recovering","Patch","Ste Anne","Ste Anne Patch.2011",0.645578312014206,"Protected"
"64",64,"Cousin Carbonate",2014,0.239934079048683,0.106707012352399,0.346641091401082,"Shifted","Carbonate","Cousin","Cousin Carbonate.2014",0.692168600320573,"Protected"
"65",65,"Cousin Granite",2014,0.316565678196823,0.0330350012482255,0.349600679445048,"Shifted","Granitic","Cousin","Cousin Granite.2014",0.905506472983219,"Protected"
"66",66,"Cousin Patch",2014,0.204758594542436,0.104871362741165,0.309629957283601,"Shifted","Patch","Cousin","Cousin Patch.2014",0.661300981141468,"Protected"
"67",67,"Mahe E Carbonate",2014,0.399446617026139,0.0978765308098683,0.497323147836007,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2014",0.803193293463703,"Fished"
"68",68,"Mahe E Granite",2014,0.395093099824327,0.0057215474568463,0.400814647281173,"Shifted","Granitic","Mahe","Mahe E Granite.2014",0.985725203667937,"Fished"
"69",69,"Mahe E Patch",2014,0.365439168184886,0.0451760482414948,0.410615216426381,"Recovering","Patch","Mahe","Mahe E Patch.2014",0.88997960515281,"Fished"
"70",70,"Mahe NW Carbonate",2014,0.316872559037958,0.0806915934593406,0.397564152497298,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2014",0.797035037106649,"Protected"
"71",71,"Mahe NW Granite",2014,0.325152811683658,0.0353091196690778,0.360461931352736,"Recovering","Granitic","Mahe","Mahe NW Granite.2014",0.902044802521669,"Fished"
"72",72,"Mahe NW Patch",2014,0.417981262122132,0.0230223456716756,0.441003607793807,"Recovering","Patch","Mahe","Mahe NW Patch.2014",0.947795561612639,"Fished"
"73",73,"Mahe W Carbonate",2014,0.421673865907139,0.129485162567902,0.551159028475041,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2014",0.76506751068532,"Fished"
"74",74,"Mahe W Granite",2014,0.410597481959324,0.00905178346082776,0.419649265420151,"Recovering","Granitic","Mahe","Mahe W Granite.2014",0.978430121993029,"Fished"
"75",75,"Mahe W Patch",2014,0.27497957338951,0.0467430316847365,0.321722605074246,"Recovering","Patch","Mahe","Mahe W Patch.2014",0.854710141757216,"Fished"
"76",76,"Praslin NE Carbonate",2014,0.443050410183339,0.00589308494503407,0.448943495128373,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2014",0.986873437283351,"Fished"
"77",77,"Praslin NE Granite",2014,0.315596731137997,0.053297364765954,0.368894095903951,"Recovering","Granitic","Praslin","Praslin NE Granite.2014",0.855521231275464,"Protected"
"78",78,"Praslin NE Patch",2014,0.31831063004416,0.1054675695773,0.423778199621459,"Recovering","Patch","Praslin","Praslin NE Patch.2014",0.751125542391022,"Protected"
"79",79,"Praslin SW Carbonate",2014,0.472572497930696,0.228264133898118,0.700836631828814,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2014",0.674297655785387,"Fished"
"80",80,"Praslin SW Granite",2014,0.301252032430481,0.0046198766287746,0.305871909059256,"Recovering","Granitic","Praslin","Praslin SW Granite.2014",0.984896041473754,"Fished"
"81",81,"Praslin SW Patch",2014,0.380386730598965,0.0358884449772104,0.416275175576176,"Shifted","Patch","Praslin","Praslin SW Patch.2014",0.91378672790772,"Fished"
"82",82,"Ste Anne Carbonate",2014,0.333449659432792,0.217896471605824,0.551346131038616,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2014",0.604791873309504,"Protected"
"83",83,"Ste Anne Granite",2014,0.274901088471975,0.0279889227804901,0.302890011252465,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2014",0.907593774173158,"Protected"
"84",84,"Ste Anne Patch",2014,0.37824389117113,0.0870847500122843,0.465328641183414,"Recovering","Patch","Ste Anne","Ste Anne Patch.2014",0.812853234671281,"Protected"
"85",85,"Mahe E Carbonate",2017,0.38075307095157,0.0645589410898258,0.445312012041396,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2017",0.855025376939923,"Fished"
"86",86,"Mahe E Granite",2017,0.342825979325545,0.0102119190462383,0.353037898371784,"Shifted","Granitic","Mahe","Mahe E Granite.2017",0.971074156362997,"Fished"
"87",87,"Mahe E Patch",2017,0.382562278042833,0.0503899142729964,0.43295219231583,"Recovering","Patch","Mahe","Mahe E Patch.2017",0.883613213728138,"Fished"
"88",88,"Mahe NW Carbonate",2017,0.356614761375513,0.0187737698432947,0.375388531218808,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2017",0.949988429901307,"Protected"
"89",89,"Mahe NW Granite",2017,0.238635745768275,0.104963352572811,0.343599098341086,"Recovering","Granitic","Mahe","Mahe NW Granite.2017",0.694517962708344,"Fished"
"90",90,"Mahe NW Patch",2017,0.347050902002609,0.0252855211277373,0.372336423130346,"Recovering","Patch","Mahe","Mahe NW Patch.2017",0.932089584695598,"Fished"
"91",91,"Mahe W Carbonate",2017,0.398544139665812,0.0762257638789723,0.474769903544784,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2017",0.839446933535916,"Fished"
"92",92,"Mahe W Granite",2017,0.385278455508913,0.00331580279787926,0.388594258306792,"Recovering","Granitic","Mahe","Mahe W Granite.2017",0.991467185304469,"Fished"
"93",93,"Mahe W Patch",2017,0.3024977381412,0.080056977982089,0.382554716123289,"Recovering","Patch","Mahe","Mahe W Patch.2017",0.790730646864413,"Fished"
"94",94,"Praslin NE Carbonate",2017,0.44605422308863,0.118321621874572,0.564375844963202,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2017",0.790349599596547,"Fished"
"95",95,"Praslin NE Granite",2017,0.268536374368303,0.0681081532317895,0.336644527600092,"Recovering","Granitic","Praslin","Praslin NE Granite.2017",0.797685250619321,"Protected"
"96",96,"Praslin NE Patch",2017,0.38293229612453,0.0145107870550518,0.397443083179582,"Recovering","Patch","Praslin","Praslin NE Patch.2017",0.963489647526473,"Protected"
"97",97,"Praslin SW Carbonate",2017,0.411177261913288,0.103046347636264,0.514223609549552,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2017",0.799607902627166,"Fished"
"98",98,"Praslin SW Granite",2017,0.296248247682072,0.0319961925277084,0.32824444020978,"Recovering","Granitic","Praslin","Praslin SW Granite.2017",0.902523276533611,"Fished"
"99",99,"Praslin SW Patch",2017,0.344364661419551,0.0590810128328367,0.403445674252387,"Shifted","Patch","Praslin","Praslin SW Patch.2017",0.853558938406471,"Fished"
"100",100,"Ste Anne Carbonate",2017,0.259679789804397,0.0740422679275832,0.333722057731981,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2017",0.778131932810242,"Protected"
"101",101,"Ste Anne Granite",2017,0.257078520633263,0.021256970828457,0.27833549146172,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2017",0.923628241885996,"Protected"
"102",102,"Ste Anne Patch",2017,0.357578350160806,0.122139332860231,0.479717683021036,"Recovering","Patch","Ste Anne","Ste Anne Patch.2017",0.745393306973688,"Protected"
