"","X","Year","richness","Location","diff","state","site.year","rich.change","FG"
"1","Cousin Carbonate1",2005,15,"Cousin Carbonate",-6,"Shifted","Cousin Carbonate.2005","Loss","Herbivore"
"2","Cousin Granite1",2005,16,"Cousin Granite",-1,"Shifted","Cousin Granite.2005","Loss","Herbivore"
"3","Cousin Patch1",2005,12,"Cousin Patch",-4,"Shifted","Cousin Patch.2005","Loss","Herbivore"
"4","Mahe E Carbonate1",2005,12,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2005","Loss","Herbivore"
"5","Mahe E Granite1",2005,11,"Mahe E Granite",2,"Shifted","Mahe E Granite.2005","Gain","Herbivore"
"6","Mahe E Patch1",2005,10,"Mahe E Patch",-7,"Recovering","Mahe E Patch.2005","Loss","Herbivore"
"7","Mahe NW Carbonate1",2005,15,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2005","Gain","Herbivore"
"8","Mahe NW Granite1",2005,14,"Mahe NW Granite",0,"Recovering","Mahe NW Granite.2005","Loss","Herbivore"
"9","Mahe NW Patch1",2005,6,"Mahe NW Patch",-4,"Recovering","Mahe NW Patch.2005","Loss","Herbivore"
"10","Mahe W Carbonate1",2005,18,"Mahe W Carbonate",7,"Recovering","Mahe W Carbonate.2005","Gain","Herbivore"
"11","Mahe W Granite1",2005,18,"Mahe W Granite",-1,"Recovering","Mahe W Granite.2005","Loss","Herbivore"
"12","Mahe W Patch1",2005,10,"Mahe W Patch",-8,"Recovering","Mahe W Patch.2005","Loss","Herbivore"
"13","Praslin NE Carbonate1",2005,10,"Praslin NE Carbonate",-6,"Shifted","Praslin NE Carbonate.2005","Loss","Herbivore"
"14","Praslin NE Granite1",2005,16,"Praslin NE Granite",0,"Recovering","Praslin NE Granite.2005","Loss","Herbivore"
"15","Praslin NE Patch1",2005,14,"Praslin NE Patch",2,"Recovering","Praslin NE Patch.2005","Gain","Herbivore"
"16","Praslin SW Carbonate1",2005,8,"Praslin SW Carbonate",-7,"Shifted","Praslin SW Carbonate.2005","Loss","Herbivore"
"17","Praslin SW Granite1",2005,16,"Praslin SW Granite",0,"Recovering","Praslin SW Granite.2005","Loss","Herbivore"
"18","Praslin SW Patch1",2005,14,"Praslin SW Patch",-3,"Shifted","Praslin SW Patch.2005","Loss","Herbivore"
"19","Ste Anne Carbonate1",2005,8,"Ste Anne Carbonate",-7,"Shifted","Ste Anne Carbonate.2005","Loss","Herbivore"
"20","Ste Anne Granite1",2005,23,"Ste Anne Granite",11,"Recovering","Ste Anne Granite.2005","Gain","Herbivore"
"21","Ste Anne Patch1",2005,11,"Ste Anne Patch",-9,"Recovering","Ste Anne Patch.2005","Loss","Herbivore"
"22","Cousin Carbonate2",2008,16,"Cousin Carbonate",-5,"Shifted","Cousin Carbonate.2008","Loss","Herbivore"
"23","Cousin Granite2",2008,17,"Cousin Granite",0,"Shifted","Cousin Granite.2008","Loss","Herbivore"
"24","Cousin Patch2",2008,21,"Cousin Patch",5,"Shifted","Cousin Patch.2008","Gain","Herbivore"
"25","Mahe E Carbonate2",2008,13,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2008","Loss","Herbivore"
"26","Mahe E Granite2",2008,16,"Mahe E Granite",7,"Shifted","Mahe E Granite.2008","Gain","Herbivore"
"27","Mahe E Patch2",2008,17,"Mahe E Patch",0,"Recovering","Mahe E Patch.2008","Loss","Herbivore"
"28","Mahe NW Carbonate2",2008,13,"Mahe NW Carbonate",1,"Recovering","Mahe NW Carbonate.2008","Gain","Herbivore"
"29","Mahe NW Granite2",2008,22,"Mahe NW Granite",8,"Recovering","Mahe NW Granite.2008","Gain","Herbivore"
"30","Mahe NW Patch2",2008,8,"Mahe NW Patch",-2,"Recovering","Mahe NW Patch.2008","Loss","Herbivore"
"31","Mahe W Carbonate2",2008,18,"Mahe W Carbonate",7,"Recovering","Mahe W Carbonate.2008","Gain","Herbivore"
"32","Mahe W Granite2",2008,19,"Mahe W Granite",0,"Recovering","Mahe W Granite.2008","Loss","Herbivore"
"33","Mahe W Patch2",2008,13,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2008","Loss","Herbivore"
"34","Praslin NE Carbonate2",2008,12,"Praslin NE Carbonate",-4,"Shifted","Praslin NE Carbonate.2008","Loss","Herbivore"
"35","Praslin NE Granite2",2008,19,"Praslin NE Granite",3,"Recovering","Praslin NE Granite.2008","Gain","Herbivore"
"36","Praslin NE Patch2",2008,13,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2008","Gain","Herbivore"
"37","Praslin SW Carbonate2",2008,12,"Praslin SW Carbonate",-3,"Shifted","Praslin SW Carbonate.2008","Loss","Herbivore"
"38","Praslin SW Granite2",2008,21,"Praslin SW Granite",5,"Recovering","Praslin SW Granite.2008","Gain","Herbivore"
"39","Praslin SW Patch2",2008,18,"Praslin SW Patch",1,"Shifted","Praslin SW Patch.2008","Gain","Herbivore"
"40","Ste Anne Carbonate2",2008,15,"Ste Anne Carbonate",0,"Shifted","Ste Anne Carbonate.2008","Loss","Herbivore"
"41","Ste Anne Granite2",2008,21,"Ste Anne Granite",9,"Recovering","Ste Anne Granite.2008","Gain","Herbivore"
"42","Ste Anne Patch2",2008,14,"Ste Anne Patch",-6,"Recovering","Ste Anne Patch.2008","Loss","Herbivore"
"43","Cousin Carbonate3",2011,16,"Cousin Carbonate",-5,"Shifted","Cousin Carbonate.2011","Loss","Herbivore"
"44","Cousin Granite3",2011,18,"Cousin Granite",1,"Shifted","Cousin Granite.2011","Gain","Herbivore"
"45","Cousin Patch3",2011,23,"Cousin Patch",7,"Shifted","Cousin Patch.2011","Gain","Herbivore"
"46","Mahe E Carbonate3",2011,13,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2011","Loss","Herbivore"
"47","Mahe E Granite3",2011,15,"Mahe E Granite",6,"Shifted","Mahe E Granite.2011","Gain","Herbivore"
"48","Mahe E Patch3",2011,17,"Mahe E Patch",0,"Recovering","Mahe E Patch.2011","Loss","Herbivore"
"49","Mahe NW Carbonate3",2011,15,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2011","Gain","Herbivore"
"50","Mahe NW Granite3",2011,18,"Mahe NW Granite",4,"Recovering","Mahe NW Granite.2011","Gain","Herbivore"
"51","Mahe NW Patch3",2011,16,"Mahe NW Patch",6,"Recovering","Mahe NW Patch.2011","Gain","Herbivore"
"52","Mahe W Carbonate3",2011,20,"Mahe W Carbonate",9,"Recovering","Mahe W Carbonate.2011","Gain","Herbivore"
"53","Mahe W Granite3",2011,19,"Mahe W Granite",0,"Recovering","Mahe W Granite.2011","Loss","Herbivore"
"54","Mahe W Patch3",2011,13,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2011","Loss","Herbivore"
"55","Praslin NE Carbonate3",2011,7,"Praslin NE Carbonate",-9,"Shifted","Praslin NE Carbonate.2011","Loss","Herbivore"
"56","Praslin NE Granite3",2011,23,"Praslin NE Granite",7,"Recovering","Praslin NE Granite.2011","Gain","Herbivore"
"57","Praslin NE Patch3",2011,16,"Praslin NE Patch",4,"Recovering","Praslin NE Patch.2011","Gain","Herbivore"
"58","Praslin SW Carbonate3",2011,7,"Praslin SW Carbonate",-8,"Shifted","Praslin SW Carbonate.2011","Loss","Herbivore"
"59","Praslin SW Granite3",2011,22,"Praslin SW Granite",6,"Recovering","Praslin SW Granite.2011","Gain","Herbivore"
"60","Praslin SW Patch3",2011,22,"Praslin SW Patch",5,"Shifted","Praslin SW Patch.2011","Gain","Herbivore"
"61","Ste Anne Carbonate3",2011,8,"Ste Anne Carbonate",-7,"Shifted","Ste Anne Carbonate.2011","Loss","Herbivore"
"62","Ste Anne Granite3",2011,27,"Ste Anne Granite",15,"Recovering","Ste Anne Granite.2011","Gain","Herbivore"
"63","Ste Anne Patch3",2011,17,"Ste Anne Patch",-3,"Recovering","Ste Anne Patch.2011","Loss","Herbivore"
"64","Cousin Carbonate4",2014,12,"Cousin Carbonate",-9,"Shifted","Cousin Carbonate.2014","Loss","Herbivore"
"65","Cousin Granite4",2014,19,"Cousin Granite",2,"Shifted","Cousin Granite.2014","Gain","Herbivore"
"66","Cousin Patch4",2014,22,"Cousin Patch",6,"Shifted","Cousin Patch.2014","Gain","Herbivore"
"67","Mahe E Carbonate4",2014,16,"Mahe E Carbonate",-1,"Shifted","Mahe E Carbonate.2014","Loss","Herbivore"
"68","Mahe E Granite4",2014,15,"Mahe E Granite",6,"Shifted","Mahe E Granite.2014","Gain","Herbivore"
"69","Mahe E Patch4",2014,18,"Mahe E Patch",1,"Recovering","Mahe E Patch.2014","Gain","Herbivore"
"70","Mahe NW Carbonate4",2014,15,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2014","Gain","Herbivore"
"71","Mahe NW Granite4",2014,16,"Mahe NW Granite",2,"Recovering","Mahe NW Granite.2014","Gain","Herbivore"
"72","Mahe NW Patch4",2014,17,"Mahe NW Patch",7,"Recovering","Mahe NW Patch.2014","Gain","Herbivore"
"73","Mahe W Carbonate4",2014,14,"Mahe W Carbonate",3,"Recovering","Mahe W Carbonate.2014","Gain","Herbivore"
"74","Mahe W Granite4",2014,20,"Mahe W Granite",1,"Recovering","Mahe W Granite.2014","Gain","Herbivore"
"75","Mahe W Patch4",2014,15,"Mahe W Patch",-3,"Recovering","Mahe W Patch.2014","Loss","Herbivore"
"76","Praslin NE Carbonate4",2014,9,"Praslin NE Carbonate",-7,"Shifted","Praslin NE Carbonate.2014","Loss","Herbivore"
"77","Praslin NE Granite4",2014,22,"Praslin NE Granite",6,"Recovering","Praslin NE Granite.2014","Gain","Herbivore"
"78","Praslin NE Patch4",2014,13,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2014","Gain","Herbivore"
"79","Praslin SW Carbonate4",2014,19,"Praslin SW Carbonate",4,"Shifted","Praslin SW Carbonate.2014","Gain","Herbivore"
"80","Praslin SW Granite4",2014,24,"Praslin SW Granite",8,"Recovering","Praslin SW Granite.2014","Gain","Herbivore"
"81","Praslin SW Patch4",2014,21,"Praslin SW Patch",4,"Shifted","Praslin SW Patch.2014","Gain","Herbivore"
"82","Ste Anne Carbonate4",2014,17,"Ste Anne Carbonate",2,"Shifted","Ste Anne Carbonate.2014","Gain","Herbivore"
"83","Ste Anne Granite4",2014,27,"Ste Anne Granite",15,"Recovering","Ste Anne Granite.2014","Gain","Herbivore"
"84","Ste Anne Patch4",2014,10,"Ste Anne Patch",-10,"Recovering","Ste Anne Patch.2014","Loss","Herbivore"
"85","Mahe E Carbonate5",2017,17,"Mahe E Carbonate",0,"Shifted","Mahe E Carbonate.2017","Loss","Herbivore"
"86","Mahe E Granite5",2017,14,"Mahe E Granite",5,"Shifted","Mahe E Granite.2017","Gain","Herbivore"
"87","Mahe E Patch5",2017,16,"Mahe E Patch",-1,"Recovering","Mahe E Patch.2017","Loss","Herbivore"
"88","Mahe NW Carbonate5",2017,20,"Mahe NW Carbonate",8,"Recovering","Mahe NW Carbonate.2017","Gain","Herbivore"
"89","Mahe NW Granite5",2017,19,"Mahe NW Granite",5,"Recovering","Mahe NW Granite.2017","Gain","Herbivore"
"90","Mahe NW Patch5",2017,15,"Mahe NW Patch",5,"Recovering","Mahe NW Patch.2017","Gain","Herbivore"
"91","Mahe W Carbonate5",2017,21,"Mahe W Carbonate",10,"Recovering","Mahe W Carbonate.2017","Gain","Herbivore"
"92","Mahe W Granite5",2017,25,"Mahe W Granite",6,"Recovering","Mahe W Granite.2017","Gain","Herbivore"
"93","Mahe W Patch5",2017,16,"Mahe W Patch",-2,"Recovering","Mahe W Patch.2017","Loss","Herbivore"
"94","Praslin NE Carbonate5",2017,12,"Praslin NE Carbonate",-4,"Shifted","Praslin NE Carbonate.2017","Loss","Herbivore"
"95","Praslin NE Granite5",2017,30,"Praslin NE Granite",14,"Recovering","Praslin NE Granite.2017","Gain","Herbivore"
"96","Praslin NE Patch5",2017,14,"Praslin NE Patch",2,"Recovering","Praslin NE Patch.2017","Gain","Herbivore"
"97","Praslin SW Carbonate5",2017,16,"Praslin SW Carbonate",1,"Shifted","Praslin SW Carbonate.2017","Gain","Herbivore"
"98","Praslin SW Granite5",2017,24,"Praslin SW Granite",8,"Recovering","Praslin SW Granite.2017","Gain","Herbivore"
"99","Praslin SW Patch5",2017,21,"Praslin SW Patch",4,"Shifted","Praslin SW Patch.2017","Gain","Herbivore"
"100","Ste Anne Carbonate5",2017,13,"Ste Anne Carbonate",-2,"Shifted","Ste Anne Carbonate.2017","Loss","Herbivore"
"101","Ste Anne Granite5",2017,28,"Ste Anne Granite",16,"Recovering","Ste Anne Granite.2017","Gain","Herbivore"
"102","Ste Anne Patch5",2017,14,"Ste Anne Patch",-6,"Recovering","Ste Anne Patch.2017","Loss","Herbivore"
"103","Cousin Carbonate11",2005,0,"Cousin Carbonate",-2,"Shifted","Cousin Carbonate.2005","Loss","Planktivore"
"104","Cousin Granite11",2005,1,"Cousin Granite",-2,"Shifted","Cousin Granite.2005","Loss","Planktivore"
"105","Cousin Patch11",2005,0,"Cousin Patch",-2,"Shifted","Cousin Patch.2005","Loss","Planktivore"
"106","Mahe E Carbonate11",2005,0,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2005","Loss","Planktivore"
"107","Mahe E Granite11",2005,1,"Mahe E Granite",0,"Shifted","Mahe E Granite.2005","Loss","Planktivore"
"108","Mahe E Patch11",2005,0,"Mahe E Patch",0,"Recovering","Mahe E Patch.2005","Loss","Planktivore"
"109","Mahe NW Carbonate11",2005,3,"Mahe NW Carbonate",-1,"Recovering","Mahe NW Carbonate.2005","Loss","Planktivore"
"110","Mahe NW Granite11",2005,3,"Mahe NW Granite",-1,"Recovering","Mahe NW Granite.2005","Loss","Planktivore"
"111","Mahe NW Patch11",2005,2,"Mahe NW Patch",0,"Recovering","Mahe NW Patch.2005","Loss","Planktivore"
"112","Mahe W Carbonate11",2005,1,"Mahe W Carbonate",-2,"Recovering","Mahe W Carbonate.2005","Loss","Planktivore"
"113","Mahe W Granite11",2005,2,"Mahe W Granite",1,"Recovering","Mahe W Granite.2005","Gain","Planktivore"
"114","Mahe W Patch11",2005,3,"Mahe W Patch",2,"Recovering","Mahe W Patch.2005","Gain","Planktivore"
"115","Praslin NE Carbonate11",2005,0,"Praslin NE Carbonate",-2,"Shifted","Praslin NE Carbonate.2005","Loss","Planktivore"
"116","Praslin NE Granite11",2005,1,"Praslin NE Granite",0,"Recovering","Praslin NE Granite.2005","Loss","Planktivore"
"117","Praslin NE Patch11",2005,1,"Praslin NE Patch",-1,"Recovering","Praslin NE Patch.2005","Loss","Planktivore"
"118","Praslin SW Carbonate11",2005,1,"Praslin SW Carbonate",-1,"Shifted","Praslin SW Carbonate.2005","Loss","Planktivore"
"119","Praslin SW Granite11",2005,2,"Praslin SW Granite",-1,"Recovering","Praslin SW Granite.2005","Loss","Planktivore"
"120","Praslin SW Patch11",2005,2,"Praslin SW Patch",1,"Shifted","Praslin SW Patch.2005","Gain","Planktivore"
"121","Ste Anne Carbonate11",2005,2,"Ste Anne Carbonate",-2,"Shifted","Ste Anne Carbonate.2005","Loss","Planktivore"
"122","Ste Anne Granite11",2005,1,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2005","Loss","Planktivore"
"123","Ste Anne Patch11",2005,2,"Ste Anne Patch",0,"Recovering","Ste Anne Patch.2005","Loss","Planktivore"
"124","Cousin Carbonate21",2008,0,"Cousin Carbonate",-2,"Shifted","Cousin Carbonate.2008","Loss","Planktivore"
"125","Cousin Granite21",2008,1,"Cousin Granite",-2,"Shifted","Cousin Granite.2008","Loss","Planktivore"
"126","Cousin Patch21",2008,1,"Cousin Patch",-1,"Shifted","Cousin Patch.2008","Loss","Planktivore"
"127","Mahe E Carbonate21",2008,1,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2008","Loss","Planktivore"
"128","Mahe E Granite21",2008,1,"Mahe E Granite",0,"Shifted","Mahe E Granite.2008","Loss","Planktivore"
"129","Mahe E Patch21",2008,1,"Mahe E Patch",1,"Recovering","Mahe E Patch.2008","Gain","Planktivore"
"130","Mahe NW Carbonate21",2008,3,"Mahe NW Carbonate",-1,"Recovering","Mahe NW Carbonate.2008","Loss","Planktivore"
"131","Mahe NW Granite21",2008,3,"Mahe NW Granite",-1,"Recovering","Mahe NW Granite.2008","Loss","Planktivore"
"132","Mahe NW Patch21",2008,1,"Mahe NW Patch",-1,"Recovering","Mahe NW Patch.2008","Loss","Planktivore"
"133","Mahe W Carbonate21",2008,3,"Mahe W Carbonate",0,"Recovering","Mahe W Carbonate.2008","Loss","Planktivore"
"134","Mahe W Granite21",2008,1,"Mahe W Granite",0,"Recovering","Mahe W Granite.2008","Loss","Planktivore"
"135","Mahe W Patch21",2008,4,"Mahe W Patch",3,"Recovering","Mahe W Patch.2008","Gain","Planktivore"
"136","Praslin NE Carbonate21",2008,2,"Praslin NE Carbonate",0,"Shifted","Praslin NE Carbonate.2008","Loss","Planktivore"
"137","Praslin NE Granite21",2008,5,"Praslin NE Granite",4,"Recovering","Praslin NE Granite.2008","Gain","Planktivore"
"138","Praslin NE Patch21",2008,2,"Praslin NE Patch",0,"Recovering","Praslin NE Patch.2008","Loss","Planktivore"
"139","Praslin SW Carbonate21",2008,1,"Praslin SW Carbonate",-1,"Shifted","Praslin SW Carbonate.2008","Loss","Planktivore"
"140","Praslin SW Granite21",2008,2,"Praslin SW Granite",-1,"Recovering","Praslin SW Granite.2008","Loss","Planktivore"
"141","Praslin SW Patch21",2008,3,"Praslin SW Patch",2,"Shifted","Praslin SW Patch.2008","Gain","Planktivore"
"142","Ste Anne Carbonate21",2008,3,"Ste Anne Carbonate",-1,"Shifted","Ste Anne Carbonate.2008","Loss","Planktivore"
"143","Ste Anne Granite21",2008,1,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2008","Loss","Planktivore"
"144","Ste Anne Patch21",2008,2,"Ste Anne Patch",0,"Recovering","Ste Anne Patch.2008","Loss","Planktivore"
"145","Cousin Carbonate31",2011,0,"Cousin Carbonate",-2,"Shifted","Cousin Carbonate.2011","Loss","Planktivore"
"146","Cousin Granite31",2011,1,"Cousin Granite",-2,"Shifted","Cousin Granite.2011","Loss","Planktivore"
"147","Cousin Patch31",2011,1,"Cousin Patch",-1,"Shifted","Cousin Patch.2011","Loss","Planktivore"
"148","Mahe E Carbonate31",2011,0,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2011","Loss","Planktivore"
"149","Mahe E Granite31",2011,0,"Mahe E Granite",-1,"Shifted","Mahe E Granite.2011","Loss","Planktivore"
"150","Mahe E Patch31",2011,1,"Mahe E Patch",1,"Recovering","Mahe E Patch.2011","Gain","Planktivore"
"151","Mahe NW Carbonate31",2011,1,"Mahe NW Carbonate",-3,"Recovering","Mahe NW Carbonate.2011","Loss","Planktivore"
"152","Mahe NW Granite31",2011,3,"Mahe NW Granite",-1,"Recovering","Mahe NW Granite.2011","Loss","Planktivore"
"153","Mahe NW Patch31",2011,4,"Mahe NW Patch",2,"Recovering","Mahe NW Patch.2011","Gain","Planktivore"
"154","Mahe W Carbonate31",2011,5,"Mahe W Carbonate",2,"Recovering","Mahe W Carbonate.2011","Gain","Planktivore"
"155","Mahe W Granite31",2011,2,"Mahe W Granite",1,"Recovering","Mahe W Granite.2011","Gain","Planktivore"
"156","Mahe W Patch31",2011,5,"Mahe W Patch",4,"Recovering","Mahe W Patch.2011","Gain","Planktivore"
"157","Praslin NE Carbonate31",2011,0,"Praslin NE Carbonate",-2,"Shifted","Praslin NE Carbonate.2011","Loss","Planktivore"
"158","Praslin NE Granite31",2011,1,"Praslin NE Granite",0,"Recovering","Praslin NE Granite.2011","Loss","Planktivore"
"159","Praslin NE Patch31",2011,1,"Praslin NE Patch",-1,"Recovering","Praslin NE Patch.2011","Loss","Planktivore"
"160","Praslin SW Carbonate31",2011,0,"Praslin SW Carbonate",-2,"Shifted","Praslin SW Carbonate.2011","Loss","Planktivore"
"161","Praslin SW Granite31",2011,1,"Praslin SW Granite",-2,"Recovering","Praslin SW Granite.2011","Loss","Planktivore"
"162","Praslin SW Patch31",2011,1,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2011","Loss","Planktivore"
"163","Ste Anne Carbonate31",2011,0,"Ste Anne Carbonate",-4,"Shifted","Ste Anne Carbonate.2011","Loss","Planktivore"
"164","Ste Anne Granite31",2011,1,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2011","Loss","Planktivore"
"165","Ste Anne Patch31",2011,4,"Ste Anne Patch",2,"Recovering","Ste Anne Patch.2011","Gain","Planktivore"
"166","Cousin Carbonate41",2014,0,"Cousin Carbonate",-2,"Shifted","Cousin Carbonate.2014","Loss","Planktivore"
"167","Cousin Granite41",2014,0,"Cousin Granite",-3,"Shifted","Cousin Granite.2014","Loss","Planktivore"
"168","Cousin Patch41",2014,1,"Cousin Patch",-1,"Shifted","Cousin Patch.2014","Loss","Planktivore"
"169","Mahe E Carbonate41",2014,0,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2014","Loss","Planktivore"
"170","Mahe E Granite41",2014,0,"Mahe E Granite",-1,"Shifted","Mahe E Granite.2014","Loss","Planktivore"
"171","Mahe E Patch41",2014,1,"Mahe E Patch",1,"Recovering","Mahe E Patch.2014","Gain","Planktivore"
"172","Mahe NW Carbonate41",2014,3,"Mahe NW Carbonate",-1,"Recovering","Mahe NW Carbonate.2014","Loss","Planktivore"
"173","Mahe NW Granite41",2014,2,"Mahe NW Granite",-2,"Recovering","Mahe NW Granite.2014","Loss","Planktivore"
"174","Mahe NW Patch41",2014,2,"Mahe NW Patch",0,"Recovering","Mahe NW Patch.2014","Loss","Planktivore"
"175","Mahe W Carbonate41",2014,3,"Mahe W Carbonate",0,"Recovering","Mahe W Carbonate.2014","Loss","Planktivore"
"176","Mahe W Granite41",2014,1,"Mahe W Granite",0,"Recovering","Mahe W Granite.2014","Loss","Planktivore"
"177","Mahe W Patch41",2014,3,"Mahe W Patch",2,"Recovering","Mahe W Patch.2014","Gain","Planktivore"
"178","Praslin NE Carbonate41",2014,0,"Praslin NE Carbonate",-2,"Shifted","Praslin NE Carbonate.2014","Loss","Planktivore"
"179","Praslin NE Granite41",2014,2,"Praslin NE Granite",1,"Recovering","Praslin NE Granite.2014","Gain","Planktivore"
"180","Praslin NE Patch41",2014,3,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2014","Gain","Planktivore"
"181","Praslin SW Carbonate41",2014,0,"Praslin SW Carbonate",-2,"Shifted","Praslin SW Carbonate.2014","Loss","Planktivore"
"182","Praslin SW Granite41",2014,2,"Praslin SW Granite",-1,"Recovering","Praslin SW Granite.2014","Loss","Planktivore"
"183","Praslin SW Patch41",2014,1,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2014","Loss","Planktivore"
"184","Ste Anne Carbonate41",2014,2,"Ste Anne Carbonate",-2,"Shifted","Ste Anne Carbonate.2014","Loss","Planktivore"
"185","Ste Anne Granite41",2014,1,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2014","Loss","Planktivore"
"186","Ste Anne Patch41",2014,4,"Ste Anne Patch",2,"Recovering","Ste Anne Patch.2014","Gain","Planktivore"
"187","Mahe E Carbonate51",2017,0,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2017","Loss","Planktivore"
"188","Mahe E Granite51",2017,0,"Mahe E Granite",-1,"Shifted","Mahe E Granite.2017","Loss","Planktivore"
"189","Mahe E Patch51",2017,0,"Mahe E Patch",0,"Recovering","Mahe E Patch.2017","Loss","Planktivore"
"190","Mahe NW Carbonate51",2017,3,"Mahe NW Carbonate",-1,"Recovering","Mahe NW Carbonate.2017","Loss","Planktivore"
"191","Mahe NW Granite51",2017,3,"Mahe NW Granite",-1,"Recovering","Mahe NW Granite.2017","Loss","Planktivore"
"192","Mahe NW Patch51",2017,1,"Mahe NW Patch",-1,"Recovering","Mahe NW Patch.2017","Loss","Planktivore"
"193","Mahe W Carbonate51",2017,3,"Mahe W Carbonate",0,"Recovering","Mahe W Carbonate.2017","Loss","Planktivore"
"194","Mahe W Granite51",2017,2,"Mahe W Granite",1,"Recovering","Mahe W Granite.2017","Gain","Planktivore"
"195","Mahe W Patch51",2017,3,"Mahe W Patch",2,"Recovering","Mahe W Patch.2017","Gain","Planktivore"
"196","Praslin NE Carbonate51",2017,1,"Praslin NE Carbonate",-1,"Shifted","Praslin NE Carbonate.2017","Loss","Planktivore"
"197","Praslin NE Granite51",2017,2,"Praslin NE Granite",1,"Recovering","Praslin NE Granite.2017","Gain","Planktivore"
"198","Praslin NE Patch51",2017,3,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2017","Gain","Planktivore"
"199","Praslin SW Carbonate51",2017,1,"Praslin SW Carbonate",-1,"Shifted","Praslin SW Carbonate.2017","Loss","Planktivore"
"200","Praslin SW Granite51",2017,3,"Praslin SW Granite",0,"Recovering","Praslin SW Granite.2017","Loss","Planktivore"
"201","Praslin SW Patch51",2017,1,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2017","Loss","Planktivore"
"202","Ste Anne Carbonate51",2017,0,"Ste Anne Carbonate",-4,"Shifted","Ste Anne Carbonate.2017","Loss","Planktivore"
"203","Ste Anne Granite51",2017,1,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2017","Loss","Planktivore"
"204","Ste Anne Patch51",2017,2,"Ste Anne Patch",0,"Recovering","Ste Anne Patch.2017","Loss","Planktivore"
"205","Cousin Carbonate12",2005,13,"Cousin Carbonate",-9,"Shifted","Cousin Carbonate.2005","Loss","Invertivore"
"206","Cousin Granite12",2005,16,"Cousin Granite",-7,"Shifted","Cousin Granite.2005","Loss","Invertivore"
"207","Cousin Patch12",2005,20,"Cousin Patch",-2,"Shifted","Cousin Patch.2005","Loss","Invertivore"
