"","X","Year","richness","Location","diff","state","site.year","rich.change","FG"
"208","Mahe E Carbonate12",2005,15,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2005","Loss","Invertivore"
"209","Mahe E Granite12",2005,18,"Mahe E Granite",1,"Shifted","Mahe E Granite.2005","Gain","Invertivore"
"210","Mahe E Patch12",2005,19,"Mahe E Patch",-4,"Recovering","Mahe E Patch.2005","Loss","Invertivore"
"211","Mahe NW Carbonate12",2005,17,"Mahe NW Carbonate",-3,"Recovering","Mahe NW Carbonate.2005","Loss","Invertivore"
"212","Mahe NW Granite12",2005,21,"Mahe NW Granite",-2,"Recovering","Mahe NW Granite.2005","Loss","Invertivore"
"213","Mahe NW Patch12",2005,16,"Mahe NW Patch",0,"Recovering","Mahe NW Patch.2005","Loss","Invertivore"
"214","Mahe W Carbonate12",2005,20,"Mahe W Carbonate",2,"Recovering","Mahe W Carbonate.2005","Gain","Invertivore"
"215","Mahe W Granite12",2005,19,"Mahe W Granite",2,"Recovering","Mahe W Granite.2005","Gain","Invertivore"
"216","Mahe W Patch12",2005,21,"Mahe W Patch",3,"Recovering","Mahe W Patch.2005","Gain","Invertivore"
"217","Praslin NE Carbonate12",2005,16,"Praslin NE Carbonate",-6,"Shifted","Praslin NE Carbonate.2005","Loss","Invertivore"
"218","Praslin NE Granite12",2005,19,"Praslin NE Granite",-2,"Recovering","Praslin NE Granite.2005","Loss","Invertivore"
"219","Praslin NE Patch12",2005,22,"Praslin NE Patch",0,"Recovering","Praslin NE Patch.2005","Loss","Invertivore"
"220","Praslin SW Carbonate12",2005,13,"Praslin SW Carbonate",-3,"Shifted","Praslin SW Carbonate.2005","Loss","Invertivore"
"221","Praslin SW Granite12",2005,16,"Praslin SW Granite",-7,"Recovering","Praslin SW Granite.2005","Loss","Invertivore"
"222","Praslin SW Patch12",2005,15,"Praslin SW Patch",-2,"Shifted","Praslin SW Patch.2005","Loss","Invertivore"
"223","Ste Anne Carbonate12",2005,17,"Ste Anne Carbonate",-5,"Shifted","Ste Anne Carbonate.2005","Loss","Invertivore"
"224","Ste Anne Granite12",2005,21,"Ste Anne Granite",0,"Recovering","Ste Anne Granite.2005","Loss","Invertivore"
"225","Ste Anne Patch12",2005,16,"Ste Anne Patch",-6,"Recovering","Ste Anne Patch.2005","Loss","Invertivore"
"226","Cousin Carbonate22",2008,15,"Cousin Carbonate",-7,"Shifted","Cousin Carbonate.2008","Loss","Invertivore"
"227","Cousin Granite22",2008,17,"Cousin Granite",-6,"Shifted","Cousin Granite.2008","Loss","Invertivore"
"228","Cousin Patch22",2008,16,"Cousin Patch",-6,"Shifted","Cousin Patch.2008","Loss","Invertivore"
"229","Mahe E Carbonate22",2008,22,"Mahe E Carbonate",2,"Shifted","Mahe E Carbonate.2008","Gain","Invertivore"
"230","Mahe E Granite22",2008,20,"Mahe E Granite",3,"Shifted","Mahe E Granite.2008","Gain","Invertivore"
"231","Mahe E Patch22",2008,18,"Mahe E Patch",-5,"Recovering","Mahe E Patch.2008","Loss","Invertivore"
"232","Mahe NW Carbonate22",2008,23,"Mahe NW Carbonate",3,"Recovering","Mahe NW Carbonate.2008","Gain","Invertivore"
"233","Mahe NW Granite22",2008,20,"Mahe NW Granite",-3,"Recovering","Mahe NW Granite.2008","Loss","Invertivore"
"234","Mahe NW Patch22",2008,18,"Mahe NW Patch",2,"Recovering","Mahe NW Patch.2008","Gain","Invertivore"
"235","Mahe W Carbonate22",2008,20,"Mahe W Carbonate",2,"Recovering","Mahe W Carbonate.2008","Gain","Invertivore"
"236","Mahe W Granite22",2008,18,"Mahe W Granite",1,"Recovering","Mahe W Granite.2008","Gain","Invertivore"
"237","Mahe W Patch22",2008,19,"Mahe W Patch",1,"Recovering","Mahe W Patch.2008","Gain","Invertivore"
"238","Praslin NE Carbonate22",2008,11,"Praslin NE Carbonate",-11,"Shifted","Praslin NE Carbonate.2008","Loss","Invertivore"
"239","Praslin NE Granite22",2008,23,"Praslin NE Granite",2,"Recovering","Praslin NE Granite.2008","Gain","Invertivore"
"240","Praslin NE Patch22",2008,23,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2008","Gain","Invertivore"
"241","Praslin SW Carbonate22",2008,17,"Praslin SW Carbonate",1,"Shifted","Praslin SW Carbonate.2008","Gain","Invertivore"
"242","Praslin SW Granite22",2008,19,"Praslin SW Granite",-4,"Recovering","Praslin SW Granite.2008","Loss","Invertivore"
"243","Praslin SW Patch22",2008,19,"Praslin SW Patch",2,"Shifted","Praslin SW Patch.2008","Gain","Invertivore"
"244","Ste Anne Carbonate22",2008,24,"Ste Anne Carbonate",2,"Shifted","Ste Anne Carbonate.2008","Gain","Invertivore"
"245","Ste Anne Granite22",2008,22,"Ste Anne Granite",1,"Recovering","Ste Anne Granite.2008","Gain","Invertivore"
"246","Ste Anne Patch22",2008,17,"Ste Anne Patch",-5,"Recovering","Ste Anne Patch.2008","Loss","Invertivore"
"247","Cousin Carbonate32",2011,16,"Cousin Carbonate",-6,"Shifted","Cousin Carbonate.2011","Loss","Invertivore"
"248","Cousin Granite32",2011,16,"Cousin Granite",-7,"Shifted","Cousin Granite.2011","Loss","Invertivore"
"249","Cousin Patch32",2011,20,"Cousin Patch",-2,"Shifted","Cousin Patch.2011","Loss","Invertivore"
"250","Mahe E Carbonate32",2011,15,"Mahe E Carbonate",-5,"Shifted","Mahe E Carbonate.2011","Loss","Invertivore"
"251","Mahe E Granite32",2011,15,"Mahe E Granite",-2,"Shifted","Mahe E Granite.2011","Loss","Invertivore"
"252","Mahe E Patch32",2011,16,"Mahe E Patch",-7,"Recovering","Mahe E Patch.2011","Loss","Invertivore"
"253","Mahe NW Carbonate32",2011,22,"Mahe NW Carbonate",2,"Recovering","Mahe NW Carbonate.2011","Gain","Invertivore"
"254","Mahe NW Granite32",2011,21,"Mahe NW Granite",-2,"Recovering","Mahe NW Granite.2011","Loss","Invertivore"
"255","Mahe NW Patch32",2011,22,"Mahe NW Patch",6,"Recovering","Mahe NW Patch.2011","Gain","Invertivore"
"256","Mahe W Carbonate32",2011,24,"Mahe W Carbonate",6,"Recovering","Mahe W Carbonate.2011","Gain","Invertivore"
"257","Mahe W Granite32",2011,22,"Mahe W Granite",5,"Recovering","Mahe W Granite.2011","Gain","Invertivore"
"258","Mahe W Patch32",2011,23,"Mahe W Patch",5,"Recovering","Mahe W Patch.2011","Gain","Invertivore"
"259","Praslin NE Carbonate32",2011,11,"Praslin NE Carbonate",-11,"Shifted","Praslin NE Carbonate.2011","Loss","Invertivore"
"260","Praslin NE Granite32",2011,22,"Praslin NE Granite",1,"Recovering","Praslin NE Granite.2011","Gain","Invertivore"
"261","Praslin NE Patch32",2011,23,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2011","Gain","Invertivore"
"262","Praslin SW Carbonate32",2011,20,"Praslin SW Carbonate",4,"Shifted","Praslin SW Carbonate.2011","Gain","Invertivore"
"263","Praslin SW Granite32",2011,19,"Praslin SW Granite",-4,"Recovering","Praslin SW Granite.2011","Loss","Invertivore"
"264","Praslin SW Patch32",2011,17,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2011","Loss","Invertivore"
"265","Ste Anne Carbonate32",2011,11,"Ste Anne Carbonate",-11,"Shifted","Ste Anne Carbonate.2011","Loss","Invertivore"
"266","Ste Anne Granite32",2011,18,"Ste Anne Granite",-3,"Recovering","Ste Anne Granite.2011","Loss","Invertivore"
"267","Ste Anne Patch32",2011,24,"Ste Anne Patch",2,"Recovering","Ste Anne Patch.2011","Gain","Invertivore"
"268","Cousin Carbonate42",2014,15,"Cousin Carbonate",-7,"Shifted","Cousin Carbonate.2014","Loss","Invertivore"
"269","Cousin Granite42",2014,17,"Cousin Granite",-6,"Shifted","Cousin Granite.2014","Loss","Invertivore"
"270","Cousin Patch42",2014,16,"Cousin Patch",-6,"Shifted","Cousin Patch.2014","Loss","Invertivore"
"271","Mahe E Carbonate42",2014,18,"Mahe E Carbonate",-2,"Shifted","Mahe E Carbonate.2014","Loss","Invertivore"
"272","Mahe E Granite42",2014,15,"Mahe E Granite",-2,"Shifted","Mahe E Granite.2014","Loss","Invertivore"
"273","Mahe E Patch42",2014,20,"Mahe E Patch",-3,"Recovering","Mahe E Patch.2014","Loss","Invertivore"
"274","Mahe NW Carbonate42",2014,25,"Mahe NW Carbonate",5,"Recovering","Mahe NW Carbonate.2014","Gain","Invertivore"
"275","Mahe NW Granite42",2014,21,"Mahe NW Granite",-2,"Recovering","Mahe NW Granite.2014","Loss","Invertivore"
"276","Mahe NW Patch42",2014,25,"Mahe NW Patch",9,"Recovering","Mahe NW Patch.2014","Gain","Invertivore"
"277","Mahe W Carbonate42",2014,25,"Mahe W Carbonate",7,"Recovering","Mahe W Carbonate.2014","Gain","Invertivore"
"278","Mahe W Granite42",2014,23,"Mahe W Granite",6,"Recovering","Mahe W Granite.2014","Gain","Invertivore"
"279","Mahe W Patch42",2014,20,"Mahe W Patch",2,"Recovering","Mahe W Patch.2014","Gain","Invertivore"
"280","Praslin NE Carbonate42",2014,9,"Praslin NE Carbonate",-13,"Shifted","Praslin NE Carbonate.2014","Loss","Invertivore"
"281","Praslin NE Granite42",2014,24,"Praslin NE Granite",3,"Recovering","Praslin NE Granite.2014","Gain","Invertivore"
"282","Praslin NE Patch42",2014,18,"Praslin NE Patch",-4,"Recovering","Praslin NE Patch.2014","Loss","Invertivore"
"283","Praslin SW Carbonate42",2014,19,"Praslin SW Carbonate",3,"Shifted","Praslin SW Carbonate.2014","Gain","Invertivore"
"284","Praslin SW Granite42",2014,21,"Praslin SW Granite",-2,"Recovering","Praslin SW Granite.2014","Loss","Invertivore"
"285","Praslin SW Patch42",2014,15,"Praslin SW Patch",-2,"Shifted","Praslin SW Patch.2014","Loss","Invertivore"
"286","Ste Anne Carbonate42",2014,17,"Ste Anne Carbonate",-5,"Shifted","Ste Anne Carbonate.2014","Loss","Invertivore"
"287","Ste Anne Granite42",2014,21,"Ste Anne Granite",0,"Recovering","Ste Anne Granite.2014","Loss","Invertivore"
"288","Ste Anne Patch42",2014,19,"Ste Anne Patch",-3,"Recovering","Ste Anne Patch.2014","Loss","Invertivore"
"289","Mahe E Carbonate52",2017,14,"Mahe E Carbonate",-6,"Shifted","Mahe E Carbonate.2017","Loss","Invertivore"
"290","Mahe E Granite52",2017,14,"Mahe E Granite",-3,"Shifted","Mahe E Granite.2017","Loss","Invertivore"
"291","Mahe E Patch52",2017,21,"Mahe E Patch",-2,"Recovering","Mahe E Patch.2017","Loss","Invertivore"
"292","Mahe NW Carbonate52",2017,24,"Mahe NW Carbonate",4,"Recovering","Mahe NW Carbonate.2017","Gain","Invertivore"
"293","Mahe NW Granite52",2017,23,"Mahe NW Granite",0,"Recovering","Mahe NW Granite.2017","Loss","Invertivore"
"294","Mahe NW Patch52",2017,19,"Mahe NW Patch",3,"Recovering","Mahe NW Patch.2017","Gain","Invertivore"
"295","Mahe W Carbonate52",2017,18,"Mahe W Carbonate",0,"Recovering","Mahe W Carbonate.2017","Loss","Invertivore"
"296","Mahe W Granite52",2017,20,"Mahe W Granite",3,"Recovering","Mahe W Granite.2017","Gain","Invertivore"
"297","Mahe W Patch52",2017,20,"Mahe W Patch",2,"Recovering","Mahe W Patch.2017","Gain","Invertivore"
"298","Praslin NE Carbonate52",2017,13,"Praslin NE Carbonate",-9,"Shifted","Praslin NE Carbonate.2017","Loss","Invertivore"
"299","Praslin NE Granite52",2017,20,"Praslin NE Granite",-1,"Recovering","Praslin NE Granite.2017","Loss","Invertivore"
"300","Praslin NE Patch52",2017,17,"Praslin NE Patch",-5,"Recovering","Praslin NE Patch.2017","Loss","Invertivore"
"301","Praslin SW Carbonate52",2017,17,"Praslin SW Carbonate",1,"Shifted","Praslin SW Carbonate.2017","Gain","Invertivore"
"302","Praslin SW Granite52",2017,22,"Praslin SW Granite",-1,"Recovering","Praslin SW Granite.2017","Loss","Invertivore"
"303","Praslin SW Patch52",2017,17,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2017","Loss","Invertivore"
"304","Ste Anne Carbonate52",2017,15,"Ste Anne Carbonate",-7,"Shifted","Ste Anne Carbonate.2017","Loss","Invertivore"
"305","Ste Anne Granite52",2017,21,"Ste Anne Granite",0,"Recovering","Ste Anne Granite.2017","Loss","Invertivore"
"306","Ste Anne Patch52",2017,22,"Ste Anne Patch",0,"Recovering","Ste Anne Patch.2017","Loss","Invertivore"
"307","Cousin Carbonate13",2005,4,"Cousin Carbonate",-4,"Shifted","Cousin Carbonate.2005","Loss","Mixed-diet Feeder"
"308","Cousin Granite13",2005,5,"Cousin Granite",-10,"Shifted","Cousin Granite.2005","Loss","Mixed-diet Feeder"
"309","Cousin Patch13",2005,5,"Cousin Patch",-5,"Shifted","Cousin Patch.2005","Loss","Mixed-diet Feeder"
"310","Mahe E Carbonate13",2005,4,"Mahe E Carbonate",-6,"Shifted","Mahe E Carbonate.2005","Loss","Mixed-diet Feeder"
"311","Mahe E Granite13",2005,4,"Mahe E Granite",-5,"Shifted","Mahe E Granite.2005","Loss","Mixed-diet Feeder"
"312","Mahe E Patch13",2005,7,"Mahe E Patch",-3,"Recovering","Mahe E Patch.2005","Loss","Mixed-diet Feeder"
"313","Mahe NW Carbonate13",2005,9,"Mahe NW Carbonate",2,"Recovering","Mahe NW Carbonate.2005","Gain","Mixed-diet Feeder"
"314","Mahe NW Granite13",2005,6,"Mahe NW Granite",-1,"Recovering","Mahe NW Granite.2005","Loss","Mixed-diet Feeder"
"315","Mahe NW Patch13",2005,5,"Mahe NW Patch",2,"Recovering","Mahe NW Patch.2005","Gain","Mixed-diet Feeder"
"316","Mahe W Carbonate13",2005,5,"Mahe W Carbonate",1,"Recovering","Mahe W Carbonate.2005","Gain","Mixed-diet Feeder"
"317","Mahe W Granite13",2005,8,"Mahe W Granite",0,"Recovering","Mahe W Granite.2005","Loss","Mixed-diet Feeder"
"318","Mahe W Patch13",2005,3,"Mahe W Patch",-6,"Recovering","Mahe W Patch.2005","Loss","Mixed-diet Feeder"
"319","Praslin NE Carbonate13",2005,9,"Praslin NE Carbonate",-3,"Shifted","Praslin NE Carbonate.2005","Loss","Mixed-diet Feeder"
"320","Praslin NE Granite13",2005,11,"Praslin NE Granite",-3,"Recovering","Praslin NE Granite.2005","Loss","Mixed-diet Feeder"
"321","Praslin NE Patch13",2005,10,"Praslin NE Patch",2,"Recovering","Praslin NE Patch.2005","Gain","Mixed-diet Feeder"
"322","Praslin SW Carbonate13",2005,7,"Praslin SW Carbonate",3,"Shifted","Praslin SW Carbonate.2005","Gain","Mixed-diet Feeder"
"323","Praslin SW Granite13",2005,10,"Praslin SW Granite",2,"Recovering","Praslin SW Granite.2005","Gain","Mixed-diet Feeder"
"324","Praslin SW Patch13",2005,5,"Praslin SW Patch",-1,"Shifted","Praslin SW Patch.2005","Loss","Mixed-diet Feeder"
"325","Ste Anne Carbonate13",2005,12,"Ste Anne Carbonate",2,"Shifted","Ste Anne Carbonate.2005","Gain","Mixed-diet Feeder"
"326","Ste Anne Granite13",2005,12,"Ste Anne Granite",4,"Recovering","Ste Anne Granite.2005","Gain","Mixed-diet Feeder"
"327","Ste Anne Patch13",2005,6,"Ste Anne Patch",-2,"Recovering","Ste Anne Patch.2005","Loss","Mixed-diet Feeder"
"328","Cousin Carbonate23",2008,7,"Cousin Carbonate",-1,"Shifted","Cousin Carbonate.2008","Loss","Mixed-diet Feeder"
"329","Cousin Granite23",2008,11,"Cousin Granite",-4,"Shifted","Cousin Granite.2008","Loss","Mixed-diet Feeder"
"330","Cousin Patch23",2008,7,"Cousin Patch",-3,"Shifted","Cousin Patch.2008","Loss","Mixed-diet Feeder"
"331","Mahe E Carbonate23",2008,12,"Mahe E Carbonate",2,"Shifted","Mahe E Carbonate.2008","Gain","Mixed-diet Feeder"
"332","Mahe E Granite23",2008,6,"Mahe E Granite",-3,"Shifted","Mahe E Granite.2008","Loss","Mixed-diet Feeder"
"333","Mahe E Patch23",2008,9,"Mahe E Patch",-1,"Recovering","Mahe E Patch.2008","Loss","Mixed-diet Feeder"
"334","Mahe NW Carbonate23",2008,11,"Mahe NW Carbonate",4,"Recovering","Mahe NW Carbonate.2008","Gain","Mixed-diet Feeder"
"335","Mahe NW Granite23",2008,9,"Mahe NW Granite",2,"Recovering","Mahe NW Granite.2008","Gain","Mixed-diet Feeder"
"336","Mahe NW Patch23",2008,7,"Mahe NW Patch",4,"Recovering","Mahe NW Patch.2008","Gain","Mixed-diet Feeder"
"337","Mahe W Carbonate23",2008,7,"Mahe W Carbonate",3,"Recovering","Mahe W Carbonate.2008","Gain","Mixed-diet Feeder"
"338","Mahe W Granite23",2008,8,"Mahe W Granite",0,"Recovering","Mahe W Granite.2008","Loss","Mixed-diet Feeder"
"339","Mahe W Patch23",2008,7,"Mahe W Patch",-2,"Recovering","Mahe W Patch.2008","Loss","Mixed-diet Feeder"
"340","Praslin NE Carbonate23",2008,7,"Praslin NE Carbonate",-5,"Shifted","Praslin NE Carbonate.2008","Loss","Mixed-diet Feeder"
"341","Praslin NE Granite23",2008,16,"Praslin NE Granite",2,"Recovering","Praslin NE Granite.2008","Gain","Mixed-diet Feeder"
"342","Praslin NE Patch23",2008,7,"Praslin NE Patch",-1,"Recovering","Praslin NE Patch.2008","Loss","Mixed-diet Feeder"
"343","Praslin SW Carbonate23",2008,4,"Praslin SW Carbonate",0,"Shifted","Praslin SW Carbonate.2008","Loss","Mixed-diet Feeder"
"344","Praslin SW Granite23",2008,12,"Praslin SW Granite",4,"Recovering","Praslin SW Granite.2008","Gain","Mixed-diet Feeder"
"345","Praslin SW Patch23",2008,10,"Praslin SW Patch",4,"Shifted","Praslin SW Patch.2008","Gain","Mixed-diet Feeder"
"346","Ste Anne Carbonate23",2008,8,"Ste Anne Carbonate",-2,"Shifted","Ste Anne Carbonate.2008","Loss","Mixed-diet Feeder"
"347","Ste Anne Granite23",2008,12,"Ste Anne Granite",4,"Recovering","Ste Anne Granite.2008","Gain","Mixed-diet Feeder"
"348","Ste Anne Patch23",2008,10,"Ste Anne Patch",2,"Recovering","Ste Anne Patch.2008","Gain","Mixed-diet Feeder"
"349","Cousin Carbonate33",2011,7,"Cousin Carbonate",-1,"Shifted","Cousin Carbonate.2011","Loss","Mixed-diet Feeder"
"350","Cousin Granite33",2011,7,"Cousin Granite",-8,"Shifted","Cousin Granite.2011","Loss","Mixed-diet Feeder"
"351","Cousin Patch33",2011,5,"Cousin Patch",-5,"Shifted","Cousin Patch.2011","Loss","Mixed-diet Feeder"
"352","Mahe E Carbonate33",2011,2,"Mahe E Carbonate",-8,"Shifted","Mahe E Carbonate.2011","Loss","Mixed-diet Feeder"
"353","Mahe E Granite33",2011,5,"Mahe E Granite",-4,"Shifted","Mahe E Granite.2011","Loss","Mixed-diet Feeder"
"354","Mahe E Patch33",2011,6,"Mahe E Patch",-4,"Recovering","Mahe E Patch.2011","Loss","Mixed-diet Feeder"
"355","Mahe NW Carbonate33",2011,8,"Mahe NW Carbonate",1,"Recovering","Mahe NW Carbonate.2011","Gain","Mixed-diet Feeder"
"356","Mahe NW Granite33",2011,9,"Mahe NW Granite",2,"Recovering","Mahe NW Granite.2011","Gain","Mixed-diet Feeder"
"357","Mahe NW Patch33",2011,7,"Mahe NW Patch",4,"Recovering","Mahe NW Patch.2011","Gain","Mixed-diet Feeder"
"358","Mahe W Carbonate33",2011,10,"Mahe W Carbonate",6,"Recovering","Mahe W Carbonate.2011","Gain","Mixed-diet Feeder"
"359","Mahe W Granite33",2011,11,"Mahe W Granite",3,"Recovering","Mahe W Granite.2011","Gain","Mixed-diet Feeder"
"360","Mahe W Patch33",2011,4,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2011","Loss","Mixed-diet Feeder"
"361","Praslin NE Carbonate33",2011,9,"Praslin NE Carbonate",-3,"Shifted","Praslin NE Carbonate.2011","Loss","Mixed-diet Feeder"
"362","Praslin NE Granite33",2011,13,"Praslin NE Granite",-1,"Recovering","Praslin NE Granite.2011","Loss","Mixed-diet Feeder"
"363","Praslin NE Patch33",2011,11,"Praslin NE Patch",3,"Recovering","Praslin NE Patch.2011","Gain","Mixed-diet Feeder"
"364","Praslin SW Carbonate33",2011,3,"Praslin SW Carbonate",-1,"Shifted","Praslin SW Carbonate.2011","Loss","Mixed-diet Feeder"
"365","Praslin SW Granite33",2011,15,"Praslin SW Granite",7,"Recovering","Praslin SW Granite.2011","Gain","Mixed-diet Feeder"
"366","Praslin SW Patch33",2011,8,"Praslin SW Patch",2,"Shifted","Praslin SW Patch.2011","Gain","Mixed-diet Feeder"
"367","Ste Anne Carbonate33",2011,11,"Ste Anne Carbonate",1,"Shifted","Ste Anne Carbonate.2011","Gain","Mixed-diet Feeder"
"368","Ste Anne Granite33",2011,14,"Ste Anne Granite",6,"Recovering","Ste Anne Granite.2011","Gain","Mixed-diet Feeder"
"369","Ste Anne Patch33",2011,10,"Ste Anne Patch",2,"Recovering","Ste Anne Patch.2011","Gain","Mixed-diet Feeder"
"370","Cousin Carbonate43",2014,4,"Cousin Carbonate",-4,"Shifted","Cousin Carbonate.2014","Loss","Mixed-diet Feeder"
"371","Cousin Granite43",2014,8,"Cousin Granite",-7,"Shifted","Cousin Granite.2014","Loss","Mixed-diet Feeder"
"372","Cousin Patch43",2014,10,"Cousin Patch",0,"Shifted","Cousin Patch.2014","Loss","Mixed-diet Feeder"
"373","Mahe E Carbonate43",2014,6,"Mahe E Carbonate",-4,"Shifted","Mahe E Carbonate.2014","Loss","Mixed-diet Feeder"
"374","Mahe E Granite43",2014,3,"Mahe E Granite",-6,"Shifted","Mahe E Granite.2014","Loss","Mixed-diet Feeder"
"375","Mahe E Patch43",2014,7,"Mahe E Patch",-3,"Recovering","Mahe E Patch.2014","Loss","Mixed-diet Feeder"
"376","Mahe NW Carbonate43",2014,8,"Mahe NW Carbonate",1,"Recovering","Mahe NW Carbonate.2014","Gain","Mixed-diet Feeder"
"377","Mahe NW Granite43",2014,7,"Mahe NW Granite",0,"Recovering","Mahe NW Granite.2014","Loss","Mixed-diet Feeder"
"378","Mahe NW Patch43",2014,9,"Mahe NW Patch",6,"Recovering","Mahe NW Patch.2014","Gain","Mixed-diet Feeder"
"379","Mahe W Carbonate43",2014,4,"Mahe W Carbonate",0,"Recovering","Mahe W Carbonate.2014","Loss","Mixed-diet Feeder"
"380","Mahe W Granite43",2014,11,"Mahe W Granite",3,"Recovering","Mahe W Granite.2014","Gain","Mixed-diet Feeder"
"381","Mahe W Patch43",2014,6,"Mahe W Patch",-3,"Recovering","Mahe W Patch.2014","Loss","Mixed-diet Feeder"
"382","Praslin NE Carbonate43",2014,4,"Praslin NE Carbonate",-8,"Shifted","Praslin NE Carbonate.2014","Loss","Mixed-diet Feeder"
"383","Praslin NE Granite43",2014,10,"Praslin NE Granite",-4,"Recovering","Praslin NE Granite.2014","Loss","Mixed-diet Feeder"
"384","Praslin NE Patch43",2014,9,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2014","Gain","Mixed-diet Feeder"
"385","Praslin SW Carbonate43",2014,10,"Praslin SW Carbonate",6,"Shifted","Praslin SW Carbonate.2014","Gain","Mixed-diet Feeder"
"386","Praslin SW Granite43",2014,10,"Praslin SW Granite",2,"Recovering","Praslin SW Granite.2014","Gain","Mixed-diet Feeder"
"387","Praslin SW Patch43",2014,6,"Praslin SW Patch",0,"Shifted","Praslin SW Patch.2014","Loss","Mixed-diet Feeder"
"388","Ste Anne Carbonate43",2014,9,"Ste Anne Carbonate",-1,"Shifted","Ste Anne Carbonate.2014","Loss","Mixed-diet Feeder"
"389","Ste Anne Granite43",2014,13,"Ste Anne Granite",5,"Recovering","Ste Anne Granite.2014","Gain","Mixed-diet Feeder"
"390","Ste Anne Patch43",2014,8,"Ste Anne Patch",0,"Recovering","Ste Anne Patch.2014","Loss","Mixed-diet Feeder"
"391","Mahe E Carbonate53",2017,9,"Mahe E Carbonate",-1,"Shifted","Mahe E Carbonate.2017","Loss","Mixed-diet Feeder"
"392","Mahe E Granite53",2017,6,"Mahe E Granite",-3,"Shifted","Mahe E Granite.2017","Loss","Mixed-diet Feeder"
"393","Mahe E Patch53",2017,10,"Mahe E Patch",0,"Recovering","Mahe E Patch.2017","Loss","Mixed-diet Feeder"
"394","Mahe NW Carbonate53",2017,4,"Mahe NW Carbonate",-3,"Recovering","Mahe NW Carbonate.2017","Loss","Mixed-diet Feeder"
"395","Mahe NW Granite53",2017,7,"Mahe NW Granite",0,"Recovering","Mahe NW Granite.2017","Loss","Mixed-diet Feeder"
"396","Mahe NW Patch53",2017,9,"Mahe NW Patch",6,"Recovering","Mahe NW Patch.2017","Gain","Mixed-diet Feeder"
"397","Mahe W Carbonate53",2017,8,"Mahe W Carbonate",4,"Recovering","Mahe W Carbonate.2017","Gain","Mixed-diet Feeder"
"398","Mahe W Granite53",2017,10,"Mahe W Granite",2,"Recovering","Mahe W Granite.2017","Gain","Mixed-diet Feeder"
"399","Mahe W Patch53",2017,4,"Mahe W Patch",-5,"Recovering","Mahe W Patch.2017","Loss","Mixed-diet Feeder"
"400","Praslin NE Carbonate53",2017,5,"Praslin NE Carbonate",-7,"Shifted","Praslin NE Carbonate.2017","Loss","Mixed-diet Feeder"
"401","Praslin NE Granite53",2017,14,"Praslin NE Granite",0,"Recovering","Praslin NE Granite.2017","Loss","Mixed-diet Feeder"
"402","Praslin NE Patch53",2017,9,"Praslin NE Patch",1,"Recovering","Praslin NE Patch.2017","Gain","Mixed-diet Feeder"
"403","Praslin SW Carbonate53",2017,3,"Praslin SW Carbonate",-1,"Shifted","Praslin SW Carbonate.2017","Loss","Mixed-diet Feeder"
"404","Praslin SW Granite53",2017,10,"Praslin SW Granite",2,"Recovering","Praslin SW Granite.2017","Gain","Mixed-diet Feeder"
"405","Praslin SW Patch53",2017,7,"Praslin SW Patch",1,"Shifted","Praslin SW Patch.2017","Gain","Mixed-diet Feeder"
